Targa2,0,1,2,3,4,5,6,E
DP,0.00620253164556962,0.00189873417721519,0.00645569620253165,0.019746835443038,0.959746835443038,0.00594936708860759,0,0
DR,0.00297914597815293,0.000744786494538232,0.00397219463753724,0.00645481628599801,0.976663356504469,0.00794438927507448,0.000248262164846077,0.00099304865938431
DS,0.00264900662251656,0.00165562913907285,0.0033112582781457,0.00877483443708609,0.935430463576159,0.047682119205298,0.000165562913907285,0.00033112582781457
DT,0.00179533213644524,0.00102590407796871,0.00487304437035137,0.00743780456527315,0.889458835598872,0.09540907925109,0,0
DV,0.00606295149638803,0.00180598555211558,0.00773993808049536,0.016124871001032,0.838622291021672,0.129643962848297,0,0
DW,0.00242836328314716,0.0014570179698883,0.00242836328314716,0.00437105390966489,0.780475959203497,0.208839242350656,0,0
DX,0.00160771704180064,0.000803858520900322,0.00321543408360129,0.00849793293523197,0.790652273771245,0.195222783647221,0,0
DY,0.00521697889494902,0.00260848944747451,0.00580981740573868,0.0144652596632677,0.625444628883092,0.346217690301162,0.000237135404315864,0
DZ,0.00111265646731572,0.000417246175243394,0.00111265646731572,0.00333796940194715,0.652573018080668,0.341168289290681,0.000278164116828929,0
EA,0.00195026816187226,0,0.000975134080936129,0.00633837152608484,0.549975621647977,0.439297903461726,0.000975134080936129,0.000487567040468064
EB,0.00286458333333333,0.00078125,0.0015625,0.003125,0.504166666666667,0.48671875,0.00078125,0
